section,metric,actual,paper_target,abs_error,rel_error,abs_tol,rel_tol,status
VAR,VAR-1_T250,89.90196078431373,92.7,2.7980392156862735,0.030183810309452788,3.0,,PASS
VAR,VAR-1_T500,92.93627450980392,95.1,2.1637254901960716,0.02275210820395449,3.0,,PASS
VAR,VAR-1_T1000,92.22058823529412,98.9,6.67941176470589,0.067537024921192,3.0,,FAIL
VAR,VAR-2_T250,93.91650505256712,85.8,8.11650505256712,0.09459796098563078,3.0,,FAIL
VAR,VAR-2_T500,97.43118641761083,93.2,4.231186417610829,0.045398995897111896,3.0,,FAIL
VAR,VAR-2_T1000,98.76833044129157,98.4,0.3683304412915618,0.003743195541580912,3.0,,PASS
Lorenz-96,Lorenz_N30_T500,89.65064102564101,92.98,3.329358974358996,0.03580725934995694,3.0,,FAIL
Lorenz-96,Lorenz_N30_T1000,95.36965811965811,96.21,0.8403418803418816,0.008734454634049284,3.0,,PASS
Lorenz-96,Lorenz_N30_T1500,96.86431623931624,99.28,2.4156837606837627,0.02433202820994926,3.0,,PASS
Lorenz-96,Lorenz_N40_T500,87.52994791666667,91.91,4.380052083333325,0.047655881659594446,3.0,,FAIL
Lorenz-96,Lorenz_N40_T1000,93.34201388888887,96.7,3.3579861111111313,0.03472581293806754,3.0,,FAIL
Lorenz-96,Lorenz_N40_T1500,97.69661458333331,99.12,1.4233854166666902,0.014360224139090902,3.0,,PASS
Lorenz-96,Lorenz_N50_T500,91.21934782608696,91.45,0.23065217391304316,0.002522167019278766,3.0,,PASS
Lorenz-96,Lorenz_N50_T1000,97.82217391304347,96.09,1.732173913043468,0.018026578343672266,3.0,,PASS
Lorenz-96,Lorenz_N50_T1500,98.68130434782609,98.87,0.18869565217391937,0.001908522829714973,3.0,,PASS
PNC rs-fMRI,JSD,0.0386587356033894,0.031,0.007658735603389401,0.24705598720610972,0.02,0.2,PASS
PNC rs-fMRI,SSIM,0.445371733983335,0.194,0.251371733983335,1.2957305875429639,0.02,0.2,FAIL
PNC rs-fMRI,NND,209.484610707596,218.742,9.257389292403985,0.04232104164908424,12.0,0.2,PASS
PNC rs-fMRI,FN,24.56854766855221,45.485,20.91645233144779,0.45985384921287875,12.0,0.2,FAIL
PNC rs-fMRI,MAE,0.0700099101228758,0.092,0.021990089877124197,0.2390227160556978,0.02,0.2,FAIL
PNC emoid-fMRI,JSD,0.0243536654388607,0.024,0.0003536654388607008,0.014736059952529199,0.02,0.2,PASS
PNC emoid-fMRI,SSIM,0.7759615296875536,0.196,0.5799615296875535,2.958987396365069,0.02,0.2,FAIL
PNC emoid-fMRI,NND,116.73651704281028,237.31,120.57348295718973,0.5080842904099689,12.0,0.2,FAIL
PNC emoid-fMRI,FN,18.69603657079058,48.132,29.43596342920942,0.611567427682403,12.0,0.2,FAIL
PNC emoid-fMRI,MAE,0.0588645561849965,0.081,0.0221354438150035,0.27327708413584567,0.02,0.2,FAIL
