Setting,Model,T=500,T=1000,T=1500
N=30,DCDF-VAE,92.98±0.03,96.21±0.02,99.28±0.01
N=30,cLSTM,89.41±0.12,91.23±0.07,91.65±0.04
N=30,cMLP,80.36±0.11,80.30±0.08,81.55±0.04
N=30,VAR-LiNGAM,71.68±0.06,73.19±0.03,73.49±0.02
N=30,VAR,71.93±0.07,73.41±0.04,73.70±0.01
N=40,DCDF-VAE,91.91±0.07,96.70±0.02,99.12±0.01
N=40,cLSTM,89.23±0.13,92.24±0.06,92.91±0.03
N=40,cMLP,79.85±0.12,81.98±0.07,82.98±0.02
N=40,VAR-LiNGAM,70.98±0.10,73.51±0.02,73.81±0.01
N=40,VAR,70.76±0.09,73.43±0.03,73.86±0.02
N=50,DCDF-VAE,91.45±0.06,96.09±0.04,98.87±0.01
N=50,cLSTM,89.99±0.09,92.25±0.07,93.07±0.03
N=50,cMLP,80.34±0.10,81.59±0.07,83.48±0.05
N=50,VAR-LiNGAM,72.21±0.09,74.09±0.05,74.16±0.01
N=50,VAR,71.81±0.08,73.68±0.06,74.03±0.02
