dataset,system,seed,hp_id,hidden_dim,latent_dim,lambda_sparse,lambda_kl,lambda_prior,lr,auroc,auprc,best_f1,threshold,precision,recall,density,final_loss,final_val_loss
VAR-1_T250,var,0,0,48,16,0.0008,0.0001,0.08,0.001,0.8990196078431373,0.7246064324626554,0.643478260869066,0.4662529230117798,0.6607142857142739,0.6166666666666564,0.14,1.0611696243286133,1.0888100862503052
VAR-1_T500,var,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9293627450980393,0.794730929779975,0.7068965517236385,0.3534252941608429,0.7192982456140224,0.6833333333333219,0.1425,1.0361369450887044,1.0117267370224
VAR-1_T1000,var,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9222058823529412,0.7951080779178629,0.7154471544710449,0.3544289469718933,0.6874999999999893,0.7333333333333211,0.16,0.879150003194809,0.9541486501693726
VAR-2_T250,var,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9391650505256711,0.8502568911020252,0.8223350253802107,0.29244348406791687,0.801980198019794,0.8350515463917441,0.2525,1.000289797782898,1.0242347717285156
VAR-2_T500,var,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9743118641761084,0.9374944961330488,0.8749999999995022,0.23482805490493774,0.8124999999999928,0.9381443298968976,0.28,1.0155433416366577,1.0048508644104004
VAR-2_T1000,var,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9876833044129155,0.9663979896872935,0.9166666666661666,0.23317226767539978,0.9166666666666572,0.9072164948453515,0.24,1.0044205288092296,1.0005152225494385
Lorenz_N30_T500,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.8965064102564101,0.7724656627719628,0.7149321266963362,0.11733260005712509,0.7745098039215611,0.6583333333333279,0.11333333333333333,0.8827642599741617,0.9432045817375183
Lorenz_N30_T1000,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9536965811965811,0.8977897546419217,0.8429752066110703,0.11947423219680786,0.8292682926829201,0.849999999999993,0.13666666666666666,0.1573737139503161,0.5082210302352905
Lorenz_N30_T1500,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9686431623931624,0.9151102136893863,0.851851851851358,0.13368651270866394,0.948453608247413,0.7666666666666603,0.10777777777777778,0.09975671097636223,0.169379360973835
Lorenz_N40_T500,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.8752994791666667,0.7131725700345549,0.6798679867981815,0.1362215280532837,0.7152777777777728,0.643749999999996,0.09,0.6022012829780579,0.811348557472229
Lorenz_N40_T1000,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9334201388888889,0.8378385124410919,0.8071428571423672,0.11056824028491974,0.9338842975206535,0.7062499999999956,0.075625,0.15514196703831354,0.19882407784461975
Lorenz_N40_T1500,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9769661458333333,0.9067640541880791,0.8503401360539256,0.1300315111875534,0.9259259259259192,0.7812499999999951,0.084375,0.11769420877099038,0.6828443706035614
Lorenz_N50_T500,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9121934782608696,0.7417020945509079,0.6784810126577279,0.15108171105384827,0.6836734693877516,0.6699999999999967,0.0784,0.5244589149951935,0.6766949892044067
Lorenz_N50_T1000,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9782217391304349,0.8935311360183995,0.8359788359783376,0.1483251005411148,0.8826815642458051,0.789999999999996,0.0716,0.19170702993869781,0.8029269576072693
Lorenz_N50_T1500,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9868130434782608,0.9285285367493595,0.8644067796605254,0.1262219250202179,0.987096774193542,0.7649999999999962,0.062,0.11889575198292732,0.7735863029956818
