dataset,system,seed,hp_id,hidden_dim,latent_dim,lambda_sparse,lambda_kl,lambda_prior,lr,auroc,auprc,best_f1,threshold,precision,recall,density,final_loss,final_val_loss
VAR-1_T250,var,0,0,48,16,0.0008,0.0001,0.08,0.001,0.8990196078431373,0.7246064324626554,0.643478260869066,0.4662529230117798,0.6607142857142739,0.6166666666666564,0.14,1.0611696243286133,1.0888100862503052
VAR-1_T250,var,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.8985294117647059,0.7238629103535121,0.643478260869066,0.4432297348976135,0.6607142857142739,0.6166666666666564,0.14,1.0492552518844604,1.0874593257904053
VAR-1_T250,var,0,2,64,24,0.001,5e-05,0.08,0.0008,0.8978921568627451,0.7215658971934671,0.640624999999502,0.4125097393989563,0.5942028985507161,0.6833333333333219,0.1725,1.0497703552246094,1.0887515544891357
VAR-1_T500,var,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9292647058823529,0.7948272025438768,0.7068965517236385,0.35822543501853943,0.7192982456140224,0.6833333333333219,0.1425,1.041013201077779,1.0059572458267212
VAR-1_T500,var,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9293627450980393,0.794730929779975,0.7068965517236385,0.3534252941608429,0.7192982456140224,0.6833333333333219,0.1425,1.0361369450887044,1.0117267370224
VAR-1_T500,var,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9293137254901962,0.7946909913577604,0.7068965517236385,0.3533414304256439,0.7192982456140224,0.6833333333333219,0.1425,1.040470282236735,1.0057708024978638
VAR-1_T1000,var,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9193627450980393,0.7880173737313405,0.7096774193543391,0.3483169376850128,0.6769230769230665,0.7333333333333211,0.1625,0.9148146410783132,0.9613854885101318
VAR-1_T1000,var,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9198529411764705,0.791397911880228,0.7107438016523925,0.3549001216888428,0.693548387096763,0.7166666666666547,0.155,0.9261553684870402,1.016053557395935
VAR-1_T1000,var,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9222058823529412,0.7951080779178629,0.7154471544710449,0.3544289469718933,0.6874999999999893,0.7333333333333211,0.16,0.879150003194809,0.9541486501693726
VAR-2_T250,var,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9390629784627947,0.8506117535967409,0.823529411764207,0.2994045615196228,0.7777777777777706,0.8659793814432901,0.27,1.0130723714828491,1.024064064025879
VAR-2_T250,var,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9391650505256711,0.8502568911020252,0.8223350253802107,0.29244348406791687,0.801980198019794,0.8350515463917441,0.2525,1.000289797782898,1.0242347717285156
VAR-2_T250,var,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9390629784627947,0.8501768312375605,0.8223350253802107,0.29946663975715637,0.801980198019794,0.8350515463917441,0.2525,1.001510739326477,1.0255422592163086
VAR-2_T500,var,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9743118641761084,0.9374944961330488,0.8749999999995022,0.23482805490493774,0.8124999999999928,0.9381443298968976,0.28,1.0155433416366577,1.0048508644104004
VAR-2_T500,var,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9743118641761084,0.937427368124074,0.8749999999995022,0.23100382089614868,0.8124999999999928,0.9381443298968976,0.28,1.0065792004267375,1.0117499828338623
VAR-2_T500,var,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9743118641761084,0.9374944961330488,0.8749999999995022,0.23056797683238983,0.8124999999999928,0.9381443298968976,0.28,1.0088236729303997,1.00400710105896
VAR-2_T1000,var,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9876833044129155,0.9663979896872935,0.9166666666661666,0.23317226767539978,0.9166666666666572,0.9072164948453515,0.24,1.0044205288092296,1.0005152225494385
VAR-2_T1000,var,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9876833044129155,0.9663979896872935,0.9166666666661666,0.2332007735967636,0.9166666666666572,0.9072164948453515,0.24,1.002622236808141,1.0065405368804932
VAR-2_T1000,var,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9876833044129155,0.9663979896872935,0.9166666666661666,0.23310041427612305,0.9166666666666572,0.9072164948453515,0.24,1.005175809065501,1.0009804964065552
Lorenz_N30_T500,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.8965064102564101,0.7724656627719628,0.7149321266963362,0.11733260005712509,0.7745098039215611,0.6583333333333279,0.11333333333333333,0.8827642599741617,0.9432045817375183
Lorenz_N30_T500,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.8963782051282051,0.7733575822931684,0.711711711711215,0.16403447091579437,0.7669902912621285,0.6583333333333279,0.11444444444444445,0.6020286281903585,0.8410680890083313
Lorenz_N30_T500,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.8927029914529914,0.7680093082102015,0.7224669603519245,0.10689859837293625,0.7592592592592523,0.6833333333333277,0.12,1.0078286131223042,1.015339732170105
Lorenz_N30_T1000,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.926688034188034,0.8502448070017847,0.7999999999995068,0.09896181523799896,0.895833333333324,0.7166666666666607,0.10666666666666667,0.17559694002072015,0.19944453239440918
Lorenz_N30_T1000,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9259935897435898,0.8490775457959788,0.8053097345127762,0.09169115126132965,0.8504672897196183,0.7583333333333271,0.11888888888888889,0.1437040170033773,0.19534030556678772
Lorenz_N30_T1000,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9536965811965811,0.8977897546419217,0.8429752066110703,0.11947423219680786,0.8292682926829201,0.849999999999993,0.13666666666666666,0.1573737139503161,0.5082210302352905
Lorenz_N30_T1500,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9444551282051281,0.8714476106475331,0.8148148148143209,0.09865157306194305,0.9072164948453515,0.7333333333333273,0.10777777777777778,0.10408801063895226,0.145725317299366
Lorenz_N30_T1500,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9420833333333333,0.867600035901129,0.8148148148143209,0.10046737641096115,0.9072164948453515,0.7333333333333273,0.10777777777777778,0.09845035225152969,0.12160002440214157
Lorenz_N30_T1500,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9686431623931624,0.9151102136893863,0.851851851851358,0.13368651270866394,0.948453608247413,0.7666666666666603,0.10777777777777778,0.09975671097636223,0.169379360973835
Lorenz_N40_T500,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.8750303819444445,0.7089568274783214,0.6734693877546059,0.11688537895679474,0.733333333333328,0.6187499999999961,0.084375,0.8477736711502075,0.9184598922729492
Lorenz_N40_T500,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.8752994791666667,0.7131725700345549,0.6798679867981815,0.1362215280532837,0.7152777777777728,0.643749999999996,0.09,0.6022012829780579,0.811348557472229
Lorenz_N40_T500,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.867756076388889,0.6948972371739458,0.6643356643351714,0.12104158103466034,0.7480314960629862,0.5937499999999963,0.079375,0.8411928216616312,0.904882550239563
Lorenz_N40_T1000,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9214583333333334,0.8268998163188707,0.8153310104524683,0.10125643759965897,0.9140624999999929,0.7312499999999954,0.08,0.15094497054815292,0.17470917105674744
Lorenz_N40_T1000,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.920368923611111,0.8230636226966214,0.8068965517236432,0.10174670815467834,0.8931297709923597,0.7312499999999954,0.081875,0.1248044657210509,0.15133978426456451
Lorenz_N40_T1000,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9334201388888889,0.8378385124410919,0.8071428571423672,0.11056824028491974,0.9338842975206535,0.7062499999999956,0.075625,0.15514196703831354,0.19882407784461975
Lorenz_N40_T1500,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9471831597222222,0.8504044828351569,0.8185053380778015,0.10798525810241699,0.9426229508196644,0.7187499999999956,0.07625,0.0926738440990448,0.12055876106023788
Lorenz_N40_T1500,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.948142361111111,0.8516239882229959,0.8201438848915977,0.10870141535997391,0.957983193277303,0.7124999999999956,0.074375,0.08264730870723724,0.128086619079113
Lorenz_N40_T1500,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9769661458333333,0.9067640541880791,0.8503401360539256,0.1300315111875534,0.9259259259259192,0.7812499999999951,0.084375,0.11769420877099038,0.6828443706035614
Lorenz_N50_T500,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9078565217391303,0.7420125162225251,0.6898550724632808,0.121955506503582,0.8150684931506794,0.5949999999999971,0.0584,0.8352076212565104,0.9136047959327698
Lorenz_N50_T500,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9121934782608696,0.7417020945509079,0.6784810126577279,0.15108171105384827,0.6836734693877516,0.6699999999999967,0.0784,0.5244589149951935,0.6766949892044067
Lorenz_N50_T500,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9068826086956523,0.7389725078712595,0.6865671641786232,0.1175789162516594,0.8455882352941114,0.5749999999999972,0.0544,0.9998717109362284,1.011696696281433
Lorenz_N50_T1000,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.959254347826087,0.8573816213799007,0.7989130434777646,0.10044987499713898,0.8698224852070955,0.7349999999999963,0.0676,0.1435528794924418,0.18836843967437744
Lorenz_N50_T1000,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9587717391304348,0.8557593329899926,0.7988338192414963,0.11631570756435394,0.9513888888888823,0.6849999999999966,0.0576,0.11680435761809349,0.17862698435783386
Lorenz_N50_T1000,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9782217391304349,0.8935311360183995,0.8359788359783376,0.1483251005411148,0.8826815642458051,0.789999999999996,0.0716,0.19170702993869781,0.8029269576072693
Lorenz_N50_T1500,lorenz,0,0,48,16,0.0008,0.0001,0.08,0.001,0.9737717391304348,0.8851712067387688,0.8265895953752347,0.10467535257339478,0.9727891156462519,0.7149999999999964,0.0588,0.0880342699587345,0.1460602506995201
Lorenz_N50_T1500,lorenz,0,1,64,16,0.0005,0.0001,0.05,0.0008,0.9732695652173913,0.8830196656070334,0.8265895953752347,0.10850605368614197,0.9727891156462519,0.7149999999999964,0.0588,0.08011075630784034,0.11946950480341911
Lorenz_N50_T1500,lorenz,0,2,64,24,0.001,5e-05,0.08,0.0008,0.9868130434782608,0.9285285367493595,0.8644067796605254,0.1262219250202179,0.987096774193542,0.7649999999999962,0.062,0.11889575198292732,0.7735863029956818
