pos_weight,min_samples_leaf,max_features,threshold_strategy,threshold,fs_accuracy,fs_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_confusion_matrix
0.8,12,0.25,default,0.5,0.6338709677419355,0.6376263238742017,0.8426799007444169,0.853763440860215,"[[770, 315], [2, 928]]"
0.8,12,0.25,fs_accuracy,0.5074228506109733,0.6358064516129033,0.6391624221844935,0.8466501240694789,0.8572964669738863,"[[780, 305], [4, 926]]"
0.8,12,0.25,fs_balanced,0.4770122531219181,0.6343548387096775,0.6395262349421942,0.8307692307692308,0.8427803379416283,"[[745, 340], [1, 929]]"
0.35,10,0.6,default,0.5,0.6333870967741936,0.6334788584364137,0.8610421836228288,0.8669738863287251,"[[857, 228], [52, 878]]"
0.35,10,0.6,fs_accuracy,0.45697580884285566,0.6419354838709678,0.6443043091599967,0.8481389578163772,0.8572964669738863,"[[801, 284], [22, 908]]"
0.35,10,0.6,fs_balanced,0.44716876632715696,0.6414516129032258,0.6444255800792303,0.8431761786600497,0.8529953917050691,"[[787, 298], [18, 912]]"
0.65,6,0.4,default,0.5,0.6369354838709678,0.6405287412078584,0.8406947890818859,0.8510752688172043,"[[777, 308], [13, 917]]"
0.65,6,0.4,fs_accuracy,0.49678793931053034,0.6370967741935484,0.6408602150537634,0.8377171215880893,0.8483102918586789,"[[771, 314], [13, 917]]"
0.65,6,0.4,fs_balanced,0.47846067252816255,0.6366129032258064,0.6413857223704422,0.8253101736972704,0.8370199692780338,"[[743, 342], [10, 920]]"
0.8,4,0.25,default,0.5,0.6345161290322581,0.6390815749050045,0.8307692307692308,0.8423963133640553,"[[750, 335], [6, 924]]"
0.8,4,0.25,fs_accuracy,0.5062302581426356,0.6361290322580645,0.6402942840973401,0.8347394540942928,0.8459293394777265,"[[760, 325], [8, 922]]"
0.8,4,0.25,fs_balanced,0.5062302581426356,0.6361290322580645,0.6402942840973401,0.8347394540942928,0.8459293394777265,"[[760, 325], [8, 922]]"
0.55,6,sqrt,default,0.5,0.635483870967742,0.6375939849624059,0.8521091811414392,0.8626728110599078,"[[787, 298], [0, 930]]"
0.55,6,sqrt,fs_accuracy,0.475432883324139,0.6362903225806451,0.6398496240601503,0.8397022332506203,0.851152073732719,"[[762, 323], [0, 930]]"
0.55,6,sqrt,fs_balanced,0.4716317080684951,0.6361290322580645,0.6398900476998949,0.8372208436724565,0.8488479262672811,"[[757, 328], [0, 930]]"
0.35,8,sqrt,default,0.5,0.6261290322580645,0.624642250788261,0.8734491315136477,0.8804147465437788,"[[857, 228], [27, 903]]"
0.35,8,sqrt,fs_accuracy,0.4190682165680985,0.6377419354838709,0.6411027568922305,0.8406947890818859,0.8520737327188941,"[[764, 321], [0, 930]]"
0.35,8,sqrt,fs_balanced,0.3957783386784438,0.6370967741935484,0.6416686878486539,0.8233250620347394,0.8359447004608295,"[[729, 356], [0, 930]]"
1.0,8,sqrt,default,0.5,0.6303225806451613,0.6356859891664646,0.824317617866005,0.8368663594470046,"[[731, 354], [0, 930]]"
