model,threshold_strategy,threshold,fs_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
gb_lr0.03_d1,sweep,0.5846980552199383,0.631774193548387,0.8471464019851117,0.854531490015361,"[[823, 262], [46, 884]]"
gb_lr0.03_d1,sweep,0.5882469045253631,0.631774193548387,0.8461538461538461,0.853225806451613,"[[826, 259], [51, 879]]"
gb_lr0.03_d1,sweep,0.593642734715364,0.6290322580645161,0.8461538461538461,0.8527649769585254,"[[832, 253], [57, 873]]"
gb_lr0.03_d1,sweep,0.594512825715553,0.6288709677419355,0.8461538461538461,0.8526881720430107,"[[833, 252], [58, 872]]"
gb_lr0.03_d1,sweep,0.5809991551583812,0.6341935483870967,0.8456575682382134,0.8535330261136713,"[[815, 270], [41, 889]]"
gb_lr0.03_d1,sweep,0.5752697586712892,0.6382258064516129,0.8441687344913151,0.8523809523809524,"[[809, 276], [38, 892]]"
gb_lr0.08_d1,sweep,0.5526822771011847,0.640483870967742,0.8441687344913151,0.8519201228878648,"[[815, 270], [44, 886]]"
gb_lr0.05_d1,sweep,0.5728419876608697,0.6343548387096775,0.8441687344913151,0.8515360983102918,"[[820, 265], [49, 881]]"
gb_lr0.05_d1,sweep,0.58284537307079,0.6330645161290323,0.8441687344913151,0.8507680491551459,"[[830, 255], [59, 871]]"
gb_lr0.03_d1,sweep,0.5692845768691642,0.6395161290322581,0.8436724565756824,0.8525345622119815,"[[800, 285], [30, 900]]"
gb_lr0.03_d1,sweep,0.569740651733486,0.6396774193548387,0.8436724565756824,0.8525345622119815,"[[800, 285], [30, 900]]"
gb_lr0.03_d1,sweep,0.577166602942434,0.636774193548387,0.8436724565756824,0.8517665130568357,"[[810, 275], [40, 890]]"
gb_lr0.03_d1,sweep,0.5997844879735713,0.6251612903225806,0.8436724565756824,0.8497695852534562,"[[836, 249], [66, 864]]"
gb_lr0.08_d1,sweep,0.5594829925347664,0.6391935483870967,0.8431761786600497,0.8505376344086022,"[[819, 266], [50, 880]]"
gb_lr0.08_d1,sweep,0.5599010184373966,0.6390322580645161,0.8431761786600497,0.8504608294930875,"[[820, 265], [51, 879]]"
gb_lr0.05_d1,sweep,0.5783202664319042,0.6332258064516129,0.8431761786600497,0.8500768049155146,"[[825, 260], [56, 874]]"
gb_lr0.08_d1,sweep,0.566943846009913,0.6375806451612903,0.8431761786600497,0.8500768049155146,"[[825, 260], [56, 874]]"
gb_lr0.05_d1,sweep,0.5622664849714755,0.6370967741935484,0.8426799007444169,0.8508448540706606,"[[808, 277], [40, 890]]"
gb_lr0.05_d1,sweep,0.5628833431902898,0.6375806451612903,0.8426799007444169,0.8507680491551459,"[[809, 276], [41, 889]]"
gb_lr0.08_d1,sweep,0.5491851543806655,0.64,0.8426799007444169,0.8507680491551459,"[[809, 276], [41, 889]]"
gb_lr0.05_d1,sweep,0.5698403008671618,0.635,0.8426799007444169,0.8502304147465438,"[[816, 269], [48, 882]]"
gb_lr0.05_d1,sweep,0.584344548733561,0.6330645161290323,0.8426799007444169,0.8491551459293395,"[[830, 255], [62, 868]]"
gb_lr0.03_d1,sweep,0.6023192719990025,0.6246774193548387,0.8421836228287841,0.8480030721966206,"[[838, 247], [71, 859]]"
gb_lr0.05_d1,sweep,0.5895504853343979,0.6301612903225806,0.8421836228287841,0.8480030721966206,"[[838, 247], [71, 859]]"
gb_lr0.05_d1,sweep,0.5911636954158084,0.6295161290322581,0.8421836228287841,0.8478494623655914,"[[840, 245], [73, 857]]"
gb_lr0.03_d1,sweep,0.5614235426856454,0.6424193548387097,0.8416873449131513,0.851305683563748,"[[788, 297], [22, 908]]"
gb_lr0.05_d1,sweep,0.5571524534997326,0.6388709677419355,0.8416873449131513,0.8501536098310292,"[[803, 282], [37, 893]]"
gb_lr0.03_d1,sweep,0.5644634350771204,0.6414516129032258,0.8411910669975186,0.8506144393241167,"[[790, 295], [25, 905]]"
gb_lr0.08_d1,sweep,0.5718483289144322,0.637258064516129,0.8411910669975186,0.8477726574500768,"[[827, 258], [62, 868]]"
gb_lr0.08_d1,sweep,0.5743391353693489,0.6364516129032258,0.8401985111662531,0.8466205837173579,"[[828, 257], [65, 865]]"
gb_lr0.05_d1,sweep,0.5535385794153483,0.64,0.8397022332506203,0.8485407066052227,"[[796, 289], [34, 896]]"
gb_lr0.08_d1,sweep,0.5464276764166404,0.640483870967742,0.8397022332506203,0.8480030721966205,"[[803, 282], [41, 889]]"
gb_lr0.05_d1,sweep,0.5973341003141858,0.6290322580645161,0.8397022332506203,0.8450076804915514,"[[842, 243], [80, 850]]"
gb_lr0.03_d1,sweep,0.5567637691994431,0.645,0.8392059553349875,0.8493087557603687,"[[779, 306], [18, 912]]"
