feature_set,pos_weight,leaf,max_features,threshold_strategy,threshold,fs_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
bcfs,0.45,10,sqrt,default,0.5,0.6248387096774194,0.8764267990074441,0.8844086021505376,"[[847, 238], [11, 919]]"
bcfs,0.35,8,sqrt,default,0.5,0.6248387096774194,0.8744416873449131,0.881490015360983,"[[857, 228], [25, 905]]"
bcfs,0.35,10,sqrt,default,0.5,0.6264516129032258,0.8704714640198511,0.8765745007680492,"[[865, 220], [41, 889]]"
bcfs,0.55,10,sqrt,default,0.5,0.63,0.8635235732009926,0.8731950844854071,"[[811, 274], [1, 929]]"
bcfs,0.35,6,0.4,default,0.5,0.6377419354838709,0.860545905707196,0.8685867895545315,"[[829, 256], [25, 905]]"
bcfs,0.45,10,sqrt,fs_acc,0.45734603338682045,0.6340322580645161,0.8595533498759306,0.8695852534562212,"[[802, 283], [0, 930]]"
bcfs,0.35,6,0.4,fs_acc,0.4678007640698003,0.6411290322580645,0.8451612903225807,0.8552995391705069,"[[785, 300], [12, 918]]"
bcfs,0.55,10,sqrt,fs_acc,0.45486420618279294,0.6359677419354839,0.8421836228287841,0.8534562211981567,"[[767, 318], [0, 930]]"
anova124,0.55,10,sqrt,default,0.5,0.6217741935483871,0.8377171215880893,0.8480030721966205,"[[775, 310], [17, 913]]"
fisher124,0.55,10,sqrt,default,0.5,0.6224193548387097,0.8362282878411911,0.8463133640552996,"[[776, 309], [21, 909]]"
fisher124,0.45,10,sqrt,default,0.5,0.6130645161290322,0.8332506203473945,0.8420122887864823,"[[790, 295], [41, 889]]"
anova124,0.55,10,sqrt,fs_acc,0.4630284223659488,0.6269354838709678,0.8327543424317618,0.8445468509984639,"[[750, 335], [2, 928]]"
anova124,0.45,10,sqrt,default,0.5,0.6108064516129033,0.8327543424317618,0.8414746543778802,"[[790, 295], [42, 888]]"
fisher124,0.55,10,sqrt,fs_acc,0.4408865375184932,0.6298387096774194,0.8292803970223325,0.8414746543778802,"[[741, 344], [0, 930]]"
bcfs,0.35,10,sqrt,fs_acc,0.3828170514983865,0.6353225806451613,0.828287841191067,0.840552995391705,"[[739, 346], [0, 930]]"
anova124,0.45,10,sqrt,fs_acc,0.4197658914502728,0.6266129032258064,0.8277915632754342,0.8400921658986176,"[[738, 347], [0, 930]]"
bcfs_anova1024_halfbcfs124,0.35,8,sqrt,default,0.5,0.6319354838709678,0.8267990074441688,0.8347158218125961,"[[794, 291], [58, 872]]"
bcfs_fisher1024_halfbcfs124,0.35,8,sqrt,default,0.5,0.6319354838709678,0.8267990074441688,0.8347158218125961,"[[794, 291], [58, 872]]"
bcfs,0.35,8,sqrt,fs_acc,0.39629912092262487,0.6359677419354839,0.8253101736972704,0.8377880184331797,"[[733, 352], [0, 930]]"
anova124,0.35,8,sqrt,default,0.5,0.6085483870967742,0.8238213399503722,0.8305683563748081,"[[806, 279], [76, 854]]"
bcfs_anova1024_halfbcfs124,0.35,8,sqrt,fs_acc,0.48471227930224703,0.6359677419354839,0.8233250620347394,0.8327956989247312,"[[770, 315], [41, 889]]"
bcfs_fisher1024_halfbcfs124,0.35,8,sqrt,fs_acc,0.484712279302247,0.6359677419354839,0.8233250620347394,0.8327956989247312,"[[770, 315], [41, 889]]"
fisher124,0.35,10,sqrt,default,0.5,0.6006451612903225,0.8233250620347394,0.8294930875576036,"[[813, 272], [84, 846]]"
fisher124,0.35,8,sqrt,fs_acc,0.41010860827549855,0.6333870967741936,0.822332506203474,0.8349462365591398,"[[728, 357], [1, 929]]"
bcfs_anova1024_halfbcfs124,0.45,10,sqrt,default,0.5,0.6308064516129033,0.822332506203474,0.8306451612903225,"[[784, 301], [57, 873]]"
bcfs_fisher1024_halfbcfs124,0.45,10,sqrt,default,0.5,0.6308064516129033,0.822332506203474,0.8306451612903225,"[[784, 301], [57, 873]]"
anova124,0.35,6,0.4,default,0.5,0.6185483870967742,0.8218362282878412,0.8317972350230415,"[[762, 323], [36, 894]]"
fisher124,0.35,10,sqrt,fs_acc,0.39064005582675027,0.6346774193548387,0.8208436724565756,0.8336405529953916,"[[724, 361], [0, 930]]"
bcfs_anova1024_halfbcfs124,0.45,10,sqrt,fs_acc,0.48339954150631026,0.6333870967741936,0.8198511166253102,0.829800307219662,"[[760, 325], [38, 892]]"
bcfs_fisher1024_halfbcfs124,0.45,10,sqrt,fs_acc,0.48339954150631026,0.6333870967741936,0.8198511166253102,0.829800307219662,"[[760, 325], [38, 892]]"
anova124,0.35,10,sqrt,fs_acc,0.3903090682347573,0.6337096774193548,0.8188585607940446,0.8317972350230415,"[[720, 365], [0, 930]]"
