pos_weight,leaf,max_features,seed,n_estimators,threshold_strategy,threshold,fs_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
0.35,10,sqrt,28,400,default,0.5,0.6303225806451613,0.8833746898263027,0.888863287250384,"[[887, 198], [37, 893]]"
0.35,8,sqrt,50,400,default,0.5,0.6232258064516129,0.8813895781637717,0.8890937019969278,"[[856, 229], [10, 920]]"
0.35,10,sqrt,64,400,default,0.5,0.6188709677419355,0.8799007444168735,0.885867895545315,"[[877, 208], [34, 896]]"
0.35,10,sqrt,78,400,default,0.5,0.6220967741935484,0.8794044665012407,0.8854070660522273,"[[876, 209], [34, 896]]"
0.35,8,sqrt,9,400,default,0.5,0.625,0.8784119106699751,0.8851766513056836,"[[865, 220], [25, 905]]"
0.35,8,sqrt,78,400,default,0.5,0.6253225806451613,0.8784119106699751,0.8851766513056836,"[[865, 220], [25, 905]]"
0.45,10,sqrt,6,400,default,0.5,0.6238709677419355,0.8774193548387097,0.8857142857142857,"[[844, 241], [6, 924]]"
0.35,8,sqrt,20,400,default,0.5,0.6241935483870967,0.8774193548387097,0.8841781874039938,"[[864, 221], [26, 904]]"
0.35,10,sqrt,29,400,default,0.5,0.6204838709677419,0.8774193548387097,0.8831029185867896,"[[878, 207], [40, 890]]"
0.45,10,sqrt,54,400,default,0.5,0.6253225806451613,0.8769230769230769,0.8855606758832565,"[[839, 246], [2, 928]]"
0.35,8,sqrt,5,400,default,0.5,0.6211290322580645,0.8769230769230769,0.883794162826421,"[[862, 223], [25, 905]]"
0.35,10,sqrt,55,400,default,0.5,0.6264516129032258,0.8769230769230769,0.8828725038402458,"[[874, 211], [37, 893]]"
0.35,10,sqrt,72,400,default,0.5,0.6241935483870967,0.8769230769230769,0.8828725038402458,"[[874, 211], [37, 893]]"
0.45,10,sqrt,43,400,default,0.5,0.6267741935483871,0.8764267990074441,0.8844086021505376,"[[847, 238], [11, 919]]"
0.35,8,sqrt,16,400,default,0.5,0.6256451612903225,0.8764267990074441,0.883563748079877,"[[858, 227], [22, 908]]"
0.35,8,sqrt,69,400,default,0.5,0.6261290322580645,0.8764267990074441,0.8834869431643625,"[[859, 226], [23, 907]]"
0.35,8,sqrt,62,400,default,0.5,0.6243548387096775,0.8764267990074441,0.8833333333333333,"[[861, 224], [25, 905]]"
0.35,8,sqrt,33,400,default,0.5,0.6296774193548387,0.8764267990074441,0.8832565284178188,"[[862, 223], [26, 904]]"
0.35,8,sqrt,28,400,default,0.5,0.6291935483870967,0.8764267990074441,0.8828725038402458,"[[867, 218], [31, 899]]"
0.35,10,sqrt,79,400,default,0.5,0.6232258064516129,0.8764267990074441,0.882258064516129,"[[875, 210], [39, 891]]"
0.35,8,sqrt,14,400,default,0.5,0.6259677419354839,0.8759305210918115,0.8833333333333333,"[[854, 231], [19, 911]]"
0.35,8,sqrt,35,400,default,0.5,0.6288709677419355,0.8759305210918115,0.8833333333333333,"[[854, 231], [19, 911]]"
0.35,8,sqrt,22,400,default,0.5,0.622741935483871,0.8759305210918115,0.8827188940092165,"[[862, 223], [27, 903]]"
0.35,10,sqrt,44,400,default,0.5,0.6232258064516129,0.8759305210918115,0.8817204301075269,"[[875, 210], [40, 890]]"
