model,agg,thr,threshold,acc,bal,cm,subj_acc,subj_cm
et035_l10_sqrt,window,default,0.5,0.8769230769230769,0.8828725038402458,"[[874, 211], [37, 893]]",,
ens_first_1,window,default,0.5,0.8769230769230769,0.8828725038402458,"[[874, 211], [37, 893]]",,
ens_first_2,window,default,0.5,0.8759305210918115,0.8824116743471582,"[[866, 219], [31, 899]]",,
ens_first_3,window,default,0.5,0.8749379652605459,0.8821044546850998,"[[856, 229], [23, 907]]",,
ens_first_4,window,default,0.5,0.8734491315136477,0.8811059907834101,"[[848, 237], [18, 912]]",,
et035_l8_sqrt,window,default,0.5,0.8734491315136477,0.8804147465437788,"[[857, 228], [27, 903]]",,
et045_l10_sqrt,window,default,0.5,0.8719602977667493,0.8797235023041474,"[[845, 240], [18, 912]]",,
ens_first_5,window,default,0.5,0.864516129032258,0.8731182795698924,"[[826, 259], [14, 916]]",,
et035_l6_04,window,default,0.5,0.854590570719603,0.862826420890937,"[[820, 265], [28, 902]]",,
et045_l10_sqrt,window,fs_acc,0.45097154212737856,0.8540942928039702,0.864516129032258,"[[791, 294], [0, 930]]",,
et035_l6_04,window,fs_acc,0.4761927288393259,0.8481389578163772,0.857910906298003,"[[793, 292], [14, 916]]",,
ens_first_5,window,fs_acc,0.4585337657629248,0.8471464019851117,0.8580645161290323,"[[777, 308], [0, 930]]",,
ens_first_5,window,fs_bal,0.4585337657629248,0.8471464019851117,0.8580645161290323,"[[777, 308], [0, 930]]",,
et035_l10_sqrt,subject_smooth,default,0.5,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
et035_l8_sqrt,subject_smooth,default,0.5,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
et035_l8_sqrt,subject_smooth,fs_sub_acc,0.44972921037665864,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
et035_l8_sqrt,subject_smooth,fs_sub_bal,0.44972921037665864,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
et045_l10_sqrt,subject_smooth,default,0.5,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
et045_l10_sqrt,subject_smooth,fs_sub_acc,0.4705144606755958,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
et045_l10_sqrt,subject_smooth,fs_sub_bal,0.4705144606755958,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
et035_l6_04,subject_smooth,default,0.5,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
et035_l6_04,subject_smooth,fs_sub_acc,0.39952724865616,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
et035_l6_04,subject_smooth,fs_sub_bal,0.39952724865616,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
rf06,subject_smooth,default,0.5,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
rf06,subject_smooth,fs_sub_acc,0.5706921847507332,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
rf06,subject_smooth,fs_sub_bal,0.5706921847507332,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
ens_first_1,subject_smooth,default,0.5,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
ens_first_2,subject_smooth,default,0.5,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
ens_first_2,subject_smooth,fs_sub_acc,0.4463465363486142,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]",0.8461538461538461,"[[5, 2], [0, 6]]"
