feature_id,source_roi,target_roi,source_name,target_name,source_network,target_network,edge
6925,78,72,THA.R,CAU.R,SUB,SUB,THA.R->CAU.R
2965,34,28,DCG.R,REC.R,VAN,LIM,DCG.R->REC.R
2925,33,78,DCG.L,THA.R,VAN,SUB,DCG.L->THA.R
2168,25,33,ORBsupmed.L,DCG.L,LIM,VAN,ORBsupmed.L->DCG.L
7782,88,39,TPOmid.R,PHG.L,DMN,LIM,TPOmid.R->PHG.L
6708,76,33,PAL.R,DCG.L,SUB,VAN,PAL.R->DCG.L
1853,21,74,OLF.L,PUT.R,LIM,SUB,OLF.L->PUT.R
3776,43,38,CAL.L,HIP.R,VIS,LIM,CAL.L->HIP.R
3455,39,74,PHG.L,PUT.R,LIM,SUB,PHG.L->PUT.R
7416,84,29,TPOsup.R,INS.L,DMN,VAN,TPOsup.R->INS.L
2350,27,37,REC.L,HIP.L,LIM,LIM,REC.L->HIP.L
122,2,34,PreCG.R,DCG.R,SMN,VAN,PreCG.R->DCG.R
125,2,37,PreCG.R,HIP.L,SMN,LIM,PreCG.R->HIP.L
6528,74,31,PUT.R,ACG.L,SUB,VAN,PUT.R->ACG.L
2744,31,75,ACG.L,PAL.L,VAN,SUB,ACG.L->PAL.L
1371,16,37,ORBinf.R,HIP.L,LIM,LIM,ORBinf.R->HIP.L
7018,79,76,HES.L,PAL.R,DMN,SUB,HES.L->PAL.R
2173,25,38,ORBsupmed.L,HIP.R,LIM,LIM,ORBsupmed.L->HIP.R
2797,32,39,ACG.R,PHG.L,VAN,LIM,ACG.R->PHG.L
7819,88,76,TPOmid.R,PAL.R,DMN,SUB,TPOmid.R->PAL.R
6562,74,65,PUT.R,ANG.L,SUB,DAN,PUT.R->ANG.L
7107,80,76,HES.R,PAL.R,DMN,SUB,HES.R->PAL.R
2247,26,22,ORBsupmed.R,OLF.R,LIM,LIM,ORBsupmed.R->OLF.R
6569,74,72,PUT.R,CAU.R,SUB,SUB,PUT.R->CAU.R
6398,72,80,CAU.R,HES.R,SUB,DMN,CAU.R->HES.R
7783,88,40,TPOmid.R,PHG.R,DMN,LIM,TPOmid.R->PHG.R
26,1,27,PreCG.L,REC.L,SMN,LIM,PreCG.L->REC.L
520,6,76,ORBsup.R,PAL.R,LIM,SUB,ORBsup.R->PAL.R
3515,40,45,PHG.R,CUN.L,LIM,VIS,PHG.R->CUN.L
2964,34,27,DCG.R,REC.L,VAN,LIM,DCG.R->REC.L
1904,22,36,OLF.R,PCG.R,LIM,DMN,OLF.R->PCG.R
2884,33,37,DCG.L,HIP.L,VAN,LIM,DCG.L->HIP.L
2341,27,28,REC.L,REC.R,LIM,LIM,REC.L->REC.R
2425,28,22,REC.R,OLF.R,LIM,LIM,REC.R->OLF.R
3369,38,77,HIP.R,THA.L,LIM,SUB,HIP.R->THA.L
6886,78,33,THA.R,DCG.L,SUB,VAN,THA.R->DCG.L
6573,74,77,PUT.R,THA.L,SUB,SUB,PUT.R->THA.L
3238,37,34,HIP.L,DCG.R,LIM,VAN,HIP.L->DCG.R
6215,70,75,PCL.R,PAL.L,SMN,SUB,PCL.R->PAL.L
6713,76,38,PAL.R,HIP.R,SUB,LIM,PAL.R->HIP.R
3190,36,76,PCG.R,PAL.R,DMN,SUB,PCG.R->PAL.R
7408,84,21,TPOsup.R,OLF.L,DMN,LIM,TPOsup.R->OLF.L
6353,72,34,CAU.R,DCG.R,SUB,VAN,CAU.R->DCG.R
1589,18,77,ROL.R,THA.L,SMN,SUB,ROL.R->THA.L
2336,27,22,REC.L,OLF.R,LIM,LIM,REC.L->OLF.R
6340,72,21,CAU.R,OLF.L,SUB,LIM,CAU.R->OLF.L
1196,14,40,IFGtriang.R,PHG.R,FPN,LIM,IFGtriang.R->PHG.R
6365,72,46,CAU.R,CUN.R,SUB,VIS,CAU.R->CUN.R
6884,78,31,THA.R,ACG.L,SUB,VAN,THA.R->ACG.L
2743,31,74,ACG.L,PUT.R,VAN,SUB,ACG.L->PUT.R
6839,77,75,THA.L,PAL.L,SUB,SUB,THA.L->PAL.L
6624,75,38,PAL.L,HIP.R,SUB,LIM,PAL.L->HIP.R
2794,32,36,ACG.R,PCG.R,VAN,DMN,ACG.R->PCG.R
3243,37,40,HIP.L,PHG.R,LIM,LIM,HIP.L->PHG.R
6295,71,65,CAU.L,ANG.L,SUB,DAN,CAU.L->ANG.L
1233,14,77,IFGtriang.R,THA.L,FPN,SUB,IFGtriang.R->THA.L
7461,84,74,TPOsup.R,PUT.R,DMN,SUB,TPOsup.R->PUT.R
6703,76,28,PAL.R,REC.R,SUB,LIM,PAL.R->REC.R
3008,34,72,DCG.R,CAU.R,VAN,SUB,DCG.R->CAU.R
1766,20,76,SMA.R,PAL.R,SMN,SUB,SMA.R->PAL.R
6885,78,32,THA.R,ACG.R,SUB,VAN,THA.R->ACG.R
1234,14,78,IFGtriang.R,THA.R,FPN,SUB,IFGtriang.R->THA.R
2618,30,38,INS.R,HIP.R,VAN,LIM,INS.R->HIP.R
1583,18,71,ROL.R,CAU.L,SMN,SUB,ROL.R->CAU.L
3505,40,34,PHG.R,DCG.R,LIM,VAN,PHG.R->DCG.R
2655,30,75,INS.R,PAL.L,VAN,SUB,INS.R->PAL.L
6127,69,76,PCL.L,PAL.R,SMN,SUB,PCL.L->PAL.R
6337,72,18,CAU.R,ROL.R,SUB,SMN,CAU.R->ROL.R
2931,33,84,DCG.L,TPOsup.R,VAN,DMN,DCG.L->TPOsup.R
1232,14,76,IFGtriang.R,PAL.R,FPN,SUB,IFGtriang.R->PAL.R
2210,25,75,ORBsupmed.L,PAL.L,LIM,SUB,ORBsupmed.L->PAL.L
2946,34,9,DCG.R,ORBmid.L,VAN,LIM,DCG.R->ORBmid.L
6447,73,39,PUT.L,PHG.L,SUB,LIM,PUT.L->PHG.L
2709,31,40,ACG.L,PHG.R,VAN,LIM,ACG.L->PHG.R
2390,27,77,REC.L,THA.L,LIM,SUB,REC.L->THA.L
6795,77,31,THA.L,ACG.L,SUB,VAN,THA.L->ACG.L
6531,74,34,PUT.R,DCG.R,SUB,VAN,PUT.R->DCG.R
1994,23,37,SFGmed.L,HIP.L,FPN,LIM,SFGmed.L->HIP.L
3024,34,88,DCG.R,TPOmid.R,VAN,DMN,DCG.R->TPOmid.R
7781,88,38,TPOmid.R,HIP.R,DMN,LIM,TPOmid.R->HIP.R
1231,14,75,IFGtriang.R,PAL.L,FPN,SUB,IFGtriang.R->PAL.L
6180,70,39,PCL.R,PHG.L,SMN,LIM,PCL.R->PHG.L
2479,28,77,REC.R,THA.L,LIM,SUB,REC.R->THA.L
6384,72,65,CAU.R,ANG.L,SUB,DAN,CAU.R->ANG.L
3322,38,29,HIP.R,INS.L,LIM,VAN,HIP.R->INS.L
2353,27,40,REC.L,PHG.R,LIM,LIM,REC.L->PHG.R
2875,33,27,DCG.L,REC.L,VAN,LIM,DCG.L->REC.L
3542,40,72,PHG.R,CAU.R,LIM,SUB,PHG.R->CAU.R
2527,29,36,INS.L,PCG.R,VAN,DMN,INS.L->PCG.R
6871,78,18,THA.R,ROL.R,SUB,SMN,THA.R->ROL.R
3485,40,14,PHG.R,IFGtriang.R,LIM,FPN,PHG.R->IFGtriang.R
2786,32,27,ACG.R,REC.L,VAN,LIM,ACG.R->REC.L
2880,33,32,DCG.L,ACG.R,VAN,VAN,DCG.L->ACG.R
1956,22,88,OLF.R,TPOmid.R,LIM,DMN,OLF.R->TPOmid.R
3380,38,88,HIP.R,TPOmid.R,LIM,DMN,HIP.R->TPOmid.R
1899,22,31,OLF.R,ACG.L,LIM,VAN,OLF.R->ACG.L
1639,19,38,SMA.L,HIP.R,SMN,LIM,SMA.L->HIP.R
3370,38,78,HIP.R,THA.R,LIM,SUB,HIP.R->THA.R
7424,84,37,TPOsup.R,HIP.L,DMN,LIM,TPOsup.R->HIP.L
3010,34,74,DCG.R,PUT.R,VAN,SUB,DCG.R->PUT.R
3558,40,88,PHG.R,TPOmid.R,LIM,DMN,PHG.R->TPOmid.R
2830,32,72,ACG.R,CAU.R,VAN,SUB,ACG.R->CAU.R
6714,76,39,PAL.R,PHG.L,SUB,LIM,PAL.R->PHG.L
2033,23,76,SFGmed.L,PAL.R,FPN,SUB,SFGmed.L->PAL.R
3489,40,18,PHG.R,ROL.R,LIM,SMN,PHG.R->ROL.R
1193,14,37,IFGtriang.R,HIP.L,FPN,LIM,IFGtriang.R->HIP.L
1675,19,74,SMA.L,PUT.R,SMN,SUB,SMA.L->PUT.R
6841,77,78,THA.L,THA.R,SUB,SUB,THA.L->THA.R
1943,22,75,OLF.R,PAL.L,LIM,SUB,OLF.R->PAL.L
696,8,74,MFG.R,PUT.R,FPN,SUB,MFG.R->PUT.R
6872,78,19,THA.R,SMA.L,SUB,SMN,THA.R->SMA.L
7777,88,34,TPOmid.R,DCG.R,DMN,VAN,TPOmid.R->DCG.R
662,8,40,MFG.R,PHG.R,FPN,LIM,MFG.R->PHG.R
