repeat,model_name,scenario,accuracy,balanced_accuracy,precision,recall,f1,n_features,confusion_matrix
0,DBN,abstract_features,0.5128205128205128,0.4888167388167388,0.43209876543209874,0.17676767676767677,0.25089605734767023,24,"[[185, 46], [163, 35]]"
0,DBN,selected_original_features,0.5034965034965035,0.5036075036075036,0.46511627906976744,0.5050505050505051,0.48426150121065376,124,"[[116, 115], [98, 100]]"
0,Sparse DBN,abstract_features,0.4825174825174825,0.5036075036075036,0.463855421686747,0.7777777777777778,0.5811320754716981,24,"[[53, 178], [44, 154]]"
0,Sparse DBN,selected_original_features,0.5034965034965035,0.5036075036075036,0.46511627906976744,0.5050505050505051,0.48426150121065376,124,"[[116, 115], [98, 100]]"
0,JCFS-DBN,abstract_features,0.46153846153846156,0.5,0.46153846153846156,1.0,0.631578947368421,16,"[[0, 231], [0, 198]]"
0,JCFS-DBN,selected_original_features,0.5244755244755245,0.5223665223665224,0.48514851485148514,0.494949494949495,0.49,124,"[[127, 104], [100, 98]]"
0,DBN+Relief,abstract_features,0.46153846153846156,0.5,0.46153846153846156,1.0,0.631578947368421,16,"[[0, 231], [0, 198]]"
0,DBN+Relief,selected_original_features,0.5034965034965035,0.5036075036075036,0.46511627906976744,0.5050505050505051,0.48426150121065376,124,"[[116, 115], [98, 100]]"
0,DBN+Inf-FS,abstract_features,0.5221445221445221,0.4880952380952381,0.36,0.045454545454545456,0.08071748878923768,16,"[[215, 16], [189, 9]]"
0,DBN+Inf-FS,selected_original_features,0.5011655011655012,0.5028860028860029,0.4642857142857143,0.5252525252525253,0.49289099526066354,124,"[[111, 120], [94, 104]]"
0,DBN+ECFS,abstract_features,0.5384615384615384,0.5,0.0,0.0,0.0,16,"[[231, 0], [198, 0]]"
0,DBN+ECFS,selected_original_features,0.5058275058275058,0.5046897546897546,0.46634615384615385,0.4898989898989899,0.47783251231527096,124,"[[120, 111], [101, 97]]"
0,Sparse DBN+Relief,abstract_features,0.5407925407925408,0.5025252525252525,1.0,0.005050505050505051,0.010050251256281409,16,"[[231, 0], [197, 1]]"
0,Sparse DBN+Relief,selected_original_features,0.5034965034965035,0.5036075036075036,0.46511627906976744,0.5050505050505051,0.48426150121065376,124,"[[116, 115], [98, 100]]"
0,Sparse DBN+Inf-FS,abstract_features,0.5268065268065268,0.5191197691197691,0.4853801169590643,0.41919191919191917,0.44986449864498645,16,"[[143, 88], [115, 83]]"
0,Sparse DBN+Inf-FS,selected_original_features,0.5011655011655012,0.5028860028860029,0.4642857142857143,0.5252525252525253,0.49289099526066354,124,"[[111, 120], [94, 104]]"
0,Sparse DBN+ECFS,abstract_features,0.5407925407925408,0.5028860028860029,0.6666666666666666,0.010101010101010102,0.019900497512437814,16,"[[230, 1], [196, 2]]"
0,Sparse DBN+ECFS,selected_original_features,0.5058275058275058,0.5046897546897546,0.46634615384615385,0.4898989898989899,0.47783251231527096,124,"[[120, 111], [101, 97]]"
0,LSDBN-CFS w/o BCFS,abstract_features,0.46153846153846156,0.5,0.46153846153846156,1.0,0.631578947368421,16,"[[0, 231], [0, 198]]"
0,LSDBN-CFS w/o BCFS,selected_original_features,0.5244755244755245,0.5223665223665224,0.48514851485148514,0.494949494949495,0.49,124,"[[127, 104], [100, 98]]"
0,LSDBN-CFS,abstract_features,0.46153846153846156,0.5,0.46153846153846156,1.0,0.631578947368421,16,"[[0, 231], [0, 198]]"
0,LSDBN-CFS,selected_original_features,0.5128205128205128,0.51010101010101,0.4723618090452261,0.47474747474747475,0.473551637279597,124,"[[126, 105], [104, 94]]"
