roi,roi_name,network,source_count,target_count,total_count
70,PCL.R,SMN,6,6,12
37,HIP.L,LIM,7,2,9
25,ORBsupmed.L,LIM,2,6,8
23,SFGmed.L,FPN,6,1,7
76,PAL.R,SUB,6,1,7
35,PCG.L,DMN,5,2,7
46,CUN.R,VIS,2,5,7
3,SFGdor.L,FPN,5,1,6
12,IFGoperc.R,FPN,3,3,6
86,MTG.R,DMN,3,3,6
60,SPG.R,DAN,4,1,5
29,INS.L,VAN,3,2,5
65,ANG.L,DAN,3,2,5
2,PreCG.R,SMN,2,3,5
33,DCG.L,VAN,2,3,5
10,ORBmid.R,LIM,0,5,5
83,TPOsup.L,DMN,0,5,5
24,SFGmed.R,FPN,4,0,4
26,ORBsupmed.R,LIM,3,1,4
50,SOG.R,VIS,3,1,4
67,PCUN.L,DMN,3,1,4
85,MTG.L,DMN,3,1,4
22,OLF.R,LIM,2,2,4
14,IFGtriang.R,FPN,1,3,4
64,SMG.R,DAN,0,4,4
6,ORBsup.R,LIM,3,0,3
11,IFGoperc.L,FPN,3,0,3
30,INS.R,VAN,2,1,3
41,AMYG.L,VAN,2,1,3
78,THA.R,SUB,2,1,3
87,TPOmid.L,DMN,2,1,3
90,ITG.R,DMN,2,1,3
21,OLF.L,LIM,1,2,3
38,HIP.R,LIM,1,2,3
44,CAL.R,VIS,1,2,3
52,MOG.R,VIS,1,2,3
56,FFG.R,VIS,1,2,3
79,HES.L,DMN,1,2,3
80,HES.R,DMN,1,2,3
89,ITG.L,DMN,1,2,3
9,ORBmid.L,LIM,0,3,3
34,DCG.R,VAN,0,3,3
36,PCG.R,DMN,0,3,3
1,PreCG.L,SMN,2,0,2
75,PAL.L,SUB,2,0,2
27,REC.L,LIM,1,1,2
40,PHG.R,LIM,1,1,2
49,SOG.L,VIS,1,1,2
51,MOG.L,VIS,1,1,2
55,FFG.L,VIS,1,1,2
61,IPL.L,DAN,1,1,2
62,IPL.R,DAN,1,1,2
66,ANG.R,DAN,1,1,2
68,PCUN.R,DMN,1,1,2
88,TPOmid.R,DMN,1,1,2
13,IFGtriang.L,FPN,0,2,2
17,ROL.L,SMN,0,2,2
19,SMA.L,SMN,0,2,2
28,REC.R,LIM,0,2,2
45,CUN.L,VIS,0,2,2
69,PCL.L,SMN,0,2,2
4,SFGdor.R,FPN,1,0,1
5,ORBsup.L,LIM,1,0,1
7,MFG.L,FPN,1,0,1
18,ROL.R,SMN,1,0,1
31,ACG.L,VAN,1,0,1
63,SMG.L,DAN,1,0,1
74,PUT.R,SUB,1,0,1
82,STG.R,DMN,1,0,1
15,ORBinf.L,LIM,0,1,1
20,SMA.R,SMN,0,1,1
43,CAL.L,VIS,0,1,1
53,IOG.L,VIS,0,1,1
54,IOG.R,VIS,0,1,1
59,SPG.L,DAN,0,1,1
72,CAU.R,SUB,0,1,1
81,STG.L,DMN,0,1,1
8,MFG.R,FPN,0,0,0
16,ORBinf.R,LIM,0,0,0
32,ACG.R,VAN,0,0,0
39,PHG.L,LIM,0,0,0
42,AMYG.R,VAN,0,0,0
47,LING.L,VIS,0,0,0
48,LING.R,VIS,0,0,0
57,PoCG.L,SMN,0,0,0
58,PoCG.R,SMN,0,0,0
71,CAU.L,SUB,0,0,0
73,PUT.L,SUB,0,0,0
77,THA.L,SUB,0,0,0
84,TPOsup.R,DMN,0,0,0
