feature_id,source_roi,target_roi,source_name,target_name,source_network,target_network,edge
2870,33,22,DCG.L,OLF.R,VAN,LIM,DCG.L->OLF.R
2079,24,33,SFGmed.R,DCG.L,FPN,VAN,SFGmed.R->DCG.L
454,6,10,ORBsup.R,ORBmid.R,LIM,LIM,ORBsup.R->ORBmid.R
4068,46,64,CUN.R,SMG.R,VIS,DAN,CUN.R->SMG.R
3268,37,65,HIP.L,ANG.L,LIM,DAN,HIP.L->ANG.L
3219,37,15,HIP.L,ORBinf.L,LIM,LIM,HIP.L->ORBinf.L
7964,90,43,ITG.R,CAL.L,DMN,VIS,ITG.R->CAL.L
190,3,13,SFGdor.L,IFGtriang.L,FPN,FPN,SFGdor.L->IFGtriang.L
5253,60,2,SPG.R,PreCG.R,DAN,SMN,SPG.R->PreCG.R
91,2,3,PreCG.R,SFGdor.L,SMN,FPN,PreCG.R->SFGdor.L
2616,30,36,INS.R,PCG.R,VAN,DMN,INS.R->PCG.R
2126,24,80,SFGmed.R,HES.R,FPN,DMN,SFGmed.R->HES.R
5320,60,70,SPG.R,PCL.R,DAN,SMN,SPG.R->PCL.R
1841,21,62,OLF.L,IPL.R,LIM,DAN,OLF.L->IPL.R
2003,23,46,SFGmed.L,CUN.R,FPN,VIS,SFGmed.L->CUN.R
988,12,9,IFGoperc.R,ORBmid.L,FPN,LIM,IFGoperc.R->ORBmid.L
2396,27,83,REC.L,TPOsup.L,LIM,DMN,REC.L->TPOsup.L
6863,78,10,THA.R,ORBmid.R,SUB,LIM,THA.R->ORBmid.R
2610,30,29,INS.R,INS.L,VAN,VAN,INS.R->INS.L
2250,26,25,ORBsupmed.R,ORBsupmed.L,LIM,LIM,ORBsupmed.R->ORBsupmed.L
3553,40,83,PHG.R,TPOsup.L,LIM,DMN,PHG.R->TPOsup.L
7664,87,10,TPOmid.L,ORBmid.R,DMN,LIM,TPOmid.L->ORBmid.R
6620,75,34,PAL.L,DCG.R,SUB,VAN,PAL.L->DCG.R
7730,87,76,TPOmid.L,PAL.R,DMN,SUB,TPOmid.L->PAL.R
6194,70,53,PCL.R,IOG.L,SMN,VIS,PCL.R->IOG.L
6715,76,40,PAL.R,PHG.R,SUB,LIM,PAL.R->PHG.R
5365,61,25,IPL.L,ORBsupmed.L,DAN,LIM,IPL.L->ORBsupmed.L
6202,70,61,PCL.R,IPL.L,SMN,DAN,PCL.R->IPL.L
3846,44,19,CAL.R,SMA.L,VIS,SMN,CAL.R->SMA.L
7854,89,22,ITG.L,OLF.R,DMN,LIM,ITG.L->OLF.R
1540,18,28,ROL.R,REC.R,SMN,LIM,ROL.R->REC.R
6192,70,51,PCL.R,MOG.L,SMN,VIS,PCL.R->MOG.L
3244,37,41,HIP.L,AMYG.L,LIM,VAN,HIP.L->AMYG.L
7635,86,70,MTG.R,PCL.R,DMN,SMN,MTG.R->PCL.R
2535,29,44,INS.L,CAL.R,VAN,VIS,INS.L->CAL.R
2191,25,56,ORBsupmed.L,FFG.R,LIM,VIS,ORBsupmed.L->FFG.R
212,3,35,SFGdor.L,PCG.L,FPN,DMN,SFGdor.L->PCG.L
6206,70,65,PCL.R,ANG.L,SMN,DAN,PCL.R->ANG.L
5810,66,25,ANG.R,ORBsupmed.L,DAN,LIM,ANG.R->ORBsupmed.L
7946,90,25,ITG.R,ORBsupmed.L,DMN,LIM,ITG.R->ORBsupmed.L
1242,14,86,IFGtriang.R,MTG.R,FPN,DMN,IFGtriang.R->MTG.R
155,2,67,PreCG.R,PCUN.L,SMN,DMN,PreCG.R->PCUN.L
2064,24,17,SFGmed.R,ROL.L,FPN,SMN,SFGmed.R->ROL.L
5441,62,12,IPL.R,IFGoperc.R,DAN,FPN,IPL.R->IFGoperc.R
2537,29,46,INS.L,CUN.R,VAN,VIS,INS.L->CUN.R
5318,60,68,SPG.R,PCUN.R,DAN,DMN,SPG.R->PCUN.R
6685,76,10,PAL.R,ORBmid.R,SUB,LIM,PAL.R->ORBmid.R
2001,23,44,SFGmed.L,CAL.R,FPN,VIS,SFGmed.L->CAL.R
6677,76,2,PAL.R,PreCG.R,SUB,SMN,PAL.R->PreCG.R
376,5,21,ORBsup.L,OLF.L,LIM,LIM,ORBsup.L->OLF.L
2536,29,45,INS.L,CUN.L,VAN,VIS,INS.L->CUN.L
7077,80,46,HES.R,CUN.R,DMN,VIS,HES.R->CUN.R
3110,35,85,PCG.L,MTG.L,DMN,DMN,PCG.L->MTG.L
4519,51,70,MOG.L,PCL.R,VIS,SMN,MOG.L->PCL.R
3077,35,52,PCG.L,MOG.R,DMN,VIS,PCG.L->MOG.R
1971,23,13,SFGmed.L,IFGtriang.L,FPN,FPN,SFGmed.L->IFGtriang.L
249,3,72,SFGdor.L,CAU.R,FPN,SUB,SFGdor.L->CAU.R
7509,85,33,MTG.L,DCG.L,DMN,VAN,MTG.L->DCG.L
916,11,27,IFGoperc.L,REC.L,FPN,LIM,IFGoperc.L->REC.L
2933,33,86,DCG.L,MTG.R,VAN,DMN,DCG.L->MTG.R
5943,67,70,PCUN.L,PCL.R,DMN,SMN,PCUN.L->PCL.R
7545,85,69,MTG.L,PCL.L,DMN,SMN,MTG.L->PCL.L
3074,35,49,PCG.L,SOG.L,DMN,VIS,PCG.L->SOG.L
4386,50,25,SOG.R,ORBsupmed.L,VIS,LIM,SOG.R->ORBsupmed.L
3292,37,89,HIP.L,ITG.L,LIM,DMN,HIP.L->ITG.L
5605,63,88,SMG.L,TPOmid.R,DAN,DMN,SMG.L->TPOmid.R
2037,23,80,SFGmed.L,HES.R,FPN,DMN,SFGmed.L->HES.R
6193,70,52,PCL.R,MOG.R,SMN,VIS,PCL.R->MOG.R
6701,76,26,PAL.R,ORBsupmed.R,SUB,LIM,PAL.R->ORBsupmed.R
899,11,9,IFGoperc.L,ORBmid.L,FPN,LIM,IFGoperc.L->ORBmid.L
1975,23,17,SFGmed.L,ROL.L,FPN,SMN,SFGmed.L->ROL.L
453,6,9,ORBsup.R,ORBmid.L,LIM,LIM,ORBsup.R->ORBmid.L
3597,41,37,AMYG.L,HIP.L,VAN,LIM,AMYG.L->HIP.L
7598,86,33,MTG.R,DCG.L,DMN,VAN,MTG.R->DCG.L
5746,65,50,ANG.L,SOG.R,DAN,VIS,ANG.L->SOG.R
2091,24,45,SFGmed.R,CUN.L,FPN,VIS,SFGmed.R->CUN.L
1993,23,36,SFGmed.L,PCG.R,FPN,DMN,SFGmed.L->PCG.R
6891,78,38,THA.R,HIP.R,SUB,LIM,THA.R->HIP.R
3224,37,20,HIP.L,SMA.R,LIM,SMN,HIP.L->SMA.R
5285,60,34,SPG.R,DCG.R,DAN,VAN,SPG.R->DCG.R
525,6,81,ORBsup.R,STG.L,LIM,DMN,ORBsup.R->STG.L
6664,75,79,PAL.L,HES.L,SUB,DMN,PAL.L->HES.L
27,1,28,PreCG.L,REC.R,SMN,LIM,PreCG.L->REC.R
5781,65,86,ANG.L,MTG.R,DAN,DMN,ANG.L->MTG.R
5784,65,89,ANG.L,ITG.L,DAN,DMN,ANG.L->ITG.L
6689,76,14,PAL.R,IFGtriang.R,SUB,FPN,PAL.R->IFGtriang.R
3598,41,38,AMYG.L,HIP.R,VAN,LIM,AMYG.L->HIP.R
3258,37,55,HIP.L,FFG.L,LIM,VIS,HIP.L->FFG.L
1914,22,46,OLF.R,CUN.R,LIM,VIS,OLF.R->CUN.R
4562,52,23,MOG.R,SFGmed.L,VIS,FPN,MOG.R->SFGmed.L
989,12,10,IFGoperc.R,ORBmid.R,FPN,LIM,IFGoperc.R->ORBmid.R
7006,79,64,HES.L,SMG.R,DMN,DAN,HES.L->SMG.R
2148,25,12,ORBsupmed.L,IFGoperc.R,LIM,FPN,ORBsupmed.L->IFGoperc.R
5934,67,60,PCUN.L,SPG.R,DMN,DAN,PCUN.L->SPG.R
3375,38,83,HIP.R,TPOsup.L,LIM,DMN,HIP.R->TPOsup.L
3079,35,54,PCG.L,IOG.R,DMN,VIS,PCG.L->IOG.R
6752,76,78,PAL.R,THA.R,SUB,SUB,PAL.R->THA.R
223,3,46,SFGdor.L,CUN.R,FPN,VIS,SFGdor.L->CUN.R
191,3,14,SFGdor.L,IFGtriang.R,FPN,FPN,SFGdor.L->IFGtriang.R
4843,55,37,FFG.L,HIP.L,VIS,LIM,FFG.L->HIP.L
6575,74,79,PUT.R,HES.L,SUB,DMN,PUT.R->HES.L
2733,31,64,ACG.L,SMG.R,VAN,DAN,ACG.L->SMG.R
953,11,64,IFGoperc.L,SMG.R,FPN,DAN,IFGoperc.L->SMG.R
1044,12,66,IFGoperc.R,ANG.R,FPN,DAN,IFGoperc.R->ANG.R
4984,56,90,FFG.R,ITG.R,VIS,DMN,FFG.R->ITG.R
7291,82,83,STG.R,TPOsup.L,DMN,DMN,STG.R->TPOsup.L
4034,46,29,CUN.R,INS.L,VIS,VAN,CUN.R->INS.L
5933,67,59,PCUN.L,SPG.L,DMN,DAN,PCUN.L->SPG.L
1890,22,21,OLF.R,OLF.L,LIM,LIM,OLF.R->OLF.L
7511,85,35,MTG.L,PCG.L,DMN,DMN,MTG.L->PCG.L
35,1,36,PreCG.L,PCG.R,SMN,DMN,PreCG.L->PCG.R
3286,37,83,HIP.L,TPOsup.L,LIM,DMN,HIP.L->TPOsup.L
7768,88,25,TPOmid.R,ORBsupmed.L,DMN,LIM,TPOmid.R->ORBsupmed.L
6155,70,14,PCL.R,IFGtriang.R,SMN,FPN,PCL.R->IFGtriang.R
300,4,34,SFGdor.R,DCG.R,FPN,VAN,SFGdor.R->DCG.R
6049,68,87,PCUN.R,TPOmid.L,DMN,DMN,PCUN.R->TPOmid.L
2237,26,12,ORBsupmed.R,IFGoperc.R,LIM,FPN,ORBsupmed.R->IFGoperc.R
536,7,2,MFG.L,PreCG.R,FPN,SMN,MFG.L->PreCG.R
2280,26,56,ORBsupmed.R,FFG.R,LIM,VIS,ORBsupmed.R->FFG.R
7634,86,69,MTG.R,PCL.L,DMN,SMN,MTG.R->PCL.L
4341,49,70,SOG.L,PCL.R,VIS,SMN,SOG.L->PCL.R
3056,35,30,PCG.L,INS.R,DMN,VAN,PCG.L->INS.R
4430,50,70,SOG.R,PCL.R,VIS,SMN,SOG.R->PCL.R
4380,50,19,SOG.R,SMA.L,VIS,SMN,SOG.R->SMA.L
