repeat,model_name,scenario,accuracy,balanced_accuracy,precision,recall,f1,n_features,confusion_matrix
0,DBN,abstract_features,0.5128205128205128,0.51010101010101,0.4723618090452261,0.47474747474747475,0.473551637279597,24,"[[126, 105], [104, 94]]"
0,DBN,selected_original_features,0.47785547785547783,0.4787157287157287,0.4409090909090909,0.4898989898989899,0.4641148325358852,20,"[[108, 123], [101, 97]]"
0,Sparse DBN,abstract_features,0.4662004662004662,0.503968253968254,0.46352941176470586,0.9949494949494949,0.6324237560192616,24,"[[3, 228], [1, 197]]"
0,Sparse DBN,selected_original_features,0.47785547785547783,0.4787157287157287,0.4409090909090909,0.4898989898989899,0.4641148325358852,20,"[[108, 123], [101, 97]]"
0,JCFS-DBN,abstract_features,0.5384615384615384,0.5,0.0,0.0,0.0,16,"[[231, 0], [198, 0]]"
0,JCFS-DBN,selected_original_features,0.5011655011655012,0.4931457431457431,0.45294117647058824,0.3888888888888889,0.41847826086956524,20,"[[138, 93], [121, 77]]"
0,LSDBN-CFS w/o BCFS,abstract_features,0.5384615384615384,0.5,0.0,0.0,0.0,16,"[[231, 0], [198, 0]]"
0,LSDBN-CFS w/o BCFS,selected_original_features,0.5011655011655012,0.4931457431457431,0.45294117647058824,0.3888888888888889,0.41847826086956524,20,"[[138, 93], [121, 77]]"
0,LSDBN-CFS,abstract_features,0.5384615384615384,0.5,0.0,0.0,0.0,16,"[[231, 0], [198, 0]]"
0,LSDBN-CFS,selected_original_features,0.5151515151515151,0.5151515151515151,0.4766355140186916,0.5151515151515151,0.49514563106796117,20,"[[119, 112], [96, 102]]"
