roi,roi_name,network,source_count,target_count,total_count
37,HIP.L,LIM,2,1,3
25,ORBsupmed.L,LIM,0,3,3
41,AMYG.L,VAN,2,0,2
60,SPG.R,DAN,2,0,2
29,INS.L,VAN,1,1,2
28,REC.R,LIM,0,2,2
1,PreCG.L,SMN,1,0,1
5,ORBsup.L,LIM,1,0,1
6,ORBsup.R,LIM,1,0,1
18,ROL.R,SMN,1,0,1
27,REC.L,LIM,1,0,1
30,INS.R,VAN,1,0,1
31,ACG.L,VAN,1,0,1
35,PCG.L,DMN,1,0,1
52,MOG.R,VIS,1,0,1
56,FFG.R,VIS,1,0,1
61,IPL.L,DAN,1,0,1
76,PAL.R,SUB,1,0,1
85,MTG.L,DMN,1,0,1
7,MFG.L,FPN,0,1,1
10,ORBmid.R,LIM,0,1,1
15,ORBinf.L,LIM,0,1,1
21,OLF.L,LIM,0,1,1
38,HIP.R,LIM,0,1,1
45,CUN.L,VIS,0,1,1
50,SOG.R,VIS,0,1,1
64,SMG.R,DAN,0,1,1
65,ANG.L,DAN,0,1,1
68,PCUN.R,DMN,0,1,1
69,PCL.L,SMN,0,1,1
83,TPOsup.L,DMN,0,1,1
87,TPOmid.L,DMN,0,1,1
2,PreCG.R,SMN,0,0,0
3,SFGdor.L,FPN,0,0,0
4,SFGdor.R,FPN,0,0,0
8,MFG.R,FPN,0,0,0
9,ORBmid.L,LIM,0,0,0
11,IFGoperc.L,FPN,0,0,0
12,IFGoperc.R,FPN,0,0,0
13,IFGtriang.L,FPN,0,0,0
14,IFGtriang.R,FPN,0,0,0
16,ORBinf.R,LIM,0,0,0
17,ROL.L,SMN,0,0,0
19,SMA.L,SMN,0,0,0
20,SMA.R,SMN,0,0,0
22,OLF.R,LIM,0,0,0
23,SFGmed.L,FPN,0,0,0
24,SFGmed.R,FPN,0,0,0
26,ORBsupmed.R,LIM,0,0,0
32,ACG.R,VAN,0,0,0
33,DCG.L,VAN,0,0,0
34,DCG.R,VAN,0,0,0
36,PCG.R,DMN,0,0,0
39,PHG.L,LIM,0,0,0
40,PHG.R,LIM,0,0,0
42,AMYG.R,VAN,0,0,0
43,CAL.L,VIS,0,0,0
44,CAL.R,VIS,0,0,0
46,CUN.R,VIS,0,0,0
47,LING.L,VIS,0,0,0
48,LING.R,VIS,0,0,0
49,SOG.L,VIS,0,0,0
51,MOG.L,VIS,0,0,0
53,IOG.L,VIS,0,0,0
54,IOG.R,VIS,0,0,0
55,FFG.L,VIS,0,0,0
57,PoCG.L,SMN,0,0,0
58,PoCG.R,SMN,0,0,0
59,SPG.L,DAN,0,0,0
62,IPL.R,DAN,0,0,0
63,SMG.L,DAN,0,0,0
66,ANG.R,DAN,0,0,0
67,PCUN.L,DMN,0,0,0
70,PCL.R,SMN,0,0,0
71,CAU.L,SUB,0,0,0
72,CAU.R,SUB,0,0,0
73,PUT.L,SUB,0,0,0
74,PUT.R,SUB,0,0,0
75,PAL.L,SUB,0,0,0
77,THA.L,SUB,0,0,0
78,THA.R,SUB,0,0,0
79,HES.L,DMN,0,0,0
80,HES.R,DMN,0,0,0
81,STG.L,DMN,0,0,0
82,STG.R,DMN,0,0,0
84,TPOsup.R,DMN,0,0,0
86,MTG.R,DMN,0,0,0
88,TPOmid.R,DMN,0,0,0
89,ITG.L,DMN,0,0,0
90,ITG.R,DMN,0,0,0
