feature_id,source_roi,target_roi,source_name,target_name,source_network,target_network,edge
27,1,28,PreCG.L,REC.R,SMN,LIM,PreCG.L->REC.R
2733,31,64,ACG.L,SMG.R,VAN,DAN,ACG.L->SMG.R
3219,37,15,HIP.L,ORBinf.L,LIM,LIM,HIP.L->ORBinf.L
376,5,21,ORBsup.L,OLF.L,LIM,LIM,ORBsup.L->OLF.L
2610,30,29,INS.R,INS.L,VAN,VAN,INS.R->INS.L
5318,60,68,SPG.R,PCUN.R,DAN,DMN,SPG.R->PCUN.R
2396,27,83,REC.L,TPOsup.L,LIM,DMN,REC.L->TPOsup.L
454,6,10,ORBsup.R,ORBmid.R,LIM,LIM,ORBsup.R->ORBmid.R
3268,37,65,HIP.L,ANG.L,LIM,DAN,HIP.L->ANG.L
4564,52,25,MOG.R,ORBsupmed.L,VIS,LIM,MOG.R->ORBsupmed.L
5276,60,25,SPG.R,ORBsupmed.L,DAN,LIM,SPG.R->ORBsupmed.L
7545,85,69,MTG.L,PCL.L,DMN,SMN,MTG.L->PCL.L
3598,41,38,AMYG.L,HIP.R,VAN,LIM,AMYG.L->HIP.R
2536,29,45,INS.L,CUN.L,VAN,VIS,INS.L->CUN.L
1540,18,28,ROL.R,REC.R,SMN,LIM,ROL.R->REC.R
5347,61,7,IPL.L,MFG.L,DAN,FPN,IPL.L->MFG.L
3075,35,50,PCG.L,SOG.R,DMN,VIS,PCG.L->SOG.R
4920,56,25,FFG.R,ORBsupmed.L,VIS,LIM,FFG.R->ORBsupmed.L
6761,76,87,PAL.R,TPOmid.L,SUB,DMN,PAL.R->TPOmid.L
3597,41,37,AMYG.L,HIP.L,VAN,LIM,AMYG.L->HIP.L
